夜の衛星写真から見える世界【２】
https://www.youtube.com/watch?v=ESGzie_i6mM

[00:00] これは夜の地球を映した衛星写真ですご覧
[00:03] の通り夜の地球はまばゆい光が高校た輝い
[00:07] ていて非常に幻想的に見えます
[00:09] 音も真っ暗だった地球がこれほどの光を
[00:12] 放つようになったのがまさに人類の進歩の
[00:14] 象徴でしょう
[00:16] ところでここに映る光が都市や街の証明だ
[00:19] というのは容易に想像できますが実はこの
[00:22] 中にはそれ以外の光も存在します例えば
[00:25] インドネシアのジャワ海を遠くから見ると
[00:28] 真っ暗に見えますが近くに寄ってみると
[00:30] 無数の小さな光がひしめき合っているのが
[00:33] 見えますこれらの小さな光は漁船で以下
[00:36] などの魚をおびき寄せるためにこうして
[00:39] 強い光を発しているのです
[00:41] java 等納期愛には1箇所を少し
[00:43] 大きめのぼんやりとした光が見えますこれ
[00:46] は海底油田で左がぼんやりとする理由は
[00:49] 石油掘削の際に発生するがさに火をつけて
[00:52] 焼却しているからですこの焼却処分が出す
[00:55] hikari no か外で夜の地球で
[00:57] 言えば世界の油田を見つけるのが容易に
[00:59] なります例えば南シナ海だけをとっても
[01:02] 油田ガス田が多数確認でき周辺国に恩恵を
[01:06] 与える希望の光とも形容できる反面資源を
[01:09] めぐる争いようこそ火種とも言えますもう
[01:12] 1箇所ひときわ輝いているのがシベリア
[01:14] です
[01:15] ここは不開始尿中林で覆われており本来人
[01:18] が住む場所ではないにもかかわらず大都市
[01:20] 並みに輝いている理由はここに眠る膨大な
[01:23] 石油と傘にありますロシアという国は人口
[01:27] が日本よりも少し多い程度 gdp に
[01:29] 関しては韓国よりも小さい上に世界的に
[01:32] 競争力のある産業が少国内も決して豊かで
[01:36] 安定しているわけではないにもかかわらず
[01:38] なぜ今だに大国として強い影響力を持って
[01:41] いるかといえば世界中の国特に欧州が
[01:44] ロシアの石油に大きく依存しているから
[01:47] です
[01:47] 欧州にも北海油田という大きな油田はあり
[01:50] ますがこれだけでは報酬のこの眩い光を
[01:53] 支えるのに全くありません
[01:55] 第二次世界対戦ではドイツが旧ソ連領な
[01:58] バクー油田を占領したことがありましたが
[02:01] 本国からはるばるやって来てここを制圧し
[02:03] たくなるほどここの石油が重要だったこと
[02:06] がわかりますちなみに一年のほとんどが氷
[02:09] で追われる北極海ですが近年は地球温暖化
[02:12] の影響でこれが消失する気か音が高くなっ
[02:15] ており北極海の海底に眠る防大が席を
[02:18] めぐって緊張が高まっています
[02:21] 今は真っ暗な北極海ですが50年後100
[02:23] 年後には関谷の炎が北極海を照らしている
[02:27] かもしれませんロシアの油田は確かに
[02:29] 大きいですがやはり石油といえば中東
[02:32] でしょう
[02:33] ここは世界中に咲き用意輸出する重要な家
[02:35] でありそれが光にもよく現れています
[02:39] 石油の光が特にをエペルシャワーには
[02:41] カタールという国がありますがここに細い
[02:44] 線が3本あるのが見えるでしょうかこれは
[02:46] 高速道路で人のドーハから地方都市という
[02:49] 伝をつないでいますちなみに真ん中の道路
[02:52] の脇に楕円形の白い物体が見えますがこれ
[02:55] はが管レース場ですこの3本の高速道は
[02:59] ごく一般的な道路であるにも関らず宇宙
[03:02] からこれほどはっきりと見えるのはそれが
[03:04] 何もない砂漠で唯一の光だからですこれは
[03:07] 砂漠で追われる中東なれではの光景で他に
[03:11] もアラブ市朝国連邦やサウジアラビアなど
[03:13] の高速道路が宇宙からくっきりと表れてい
[03:16] ますこうした砂漠では人々は水がある場所
[03:19] にちゅうちゅうするので人口の集中具合が
[03:22] 特にわかりやすくなります
[03:24] その典型的な例がエジプトです四角い国土
[03:27] を持つエジプトですが人口のほぼすべてが
[03:30] ナイル川変換に集中し歩いに世界で一番
[03:33] 細い国とも言えます全体的にかなり暗い
[03:36] アフリカにおいてひときわ目立つこの家は
[03:39] 人間にとっていかに水が重要なのかを可視
[03:41] 化していると言えるでしょう
[03:43] アフリカは全体的に暗いた述べましたが西
[03:46] アフリカに1箇所後類地域が見えます
[03:49] ここはナイジェリアの人口がほとんど集中
[03:52] するない知り当てるたという世界最大の
[03:54] 三角州です
[03:56] この地域の光はぼんやりしているのから
[03:58] 分かる通りこのあたりには巨大な油田が
[04:00] ありこれが舞いジュリアが世界有数の産油
[04:03] 国である理由です
[04:05] この写真では石油の光に隠れてわかり
